origen,destino,distancia,riesgo,nombre
0,1,0.125,65,
2,3,0.026,65,Avenida Circunvalación Norte
3,4,0.006,65,Avenida Circunvalación Norte
4,5,0.011,65,Avenida Circunvalación Norte
6,7,0.025,65,Avenida Circunvalación Norte
7,8,0.013,65,Avenida Circunvalación Norte
8,9,0.017,65,Avenida Circunvalación Norte
9,10,0.065,65,Avenida Circunvalación Norte
10,11,0.109,65,Avenida Circunvalación Norte
11,12,0.11,65,Avenida Circunvalación Norte
12,13,0.074,65,Avenida Circunvalación Norte
13,14,0.098,65,Avenida Circunvalación Norte
14,15,0.075,65,Avenida Circunvalación Norte
15,16,0.078,65,Avenida Circunvalación Norte
16,17,0.02,65,Avenida Circunvalación Norte
17,18,0.071,65,Avenida Circunvalación Norte
18,19,0.014,65,Avenida Circunvalación Norte
19,20,0.006,65,Avenida Circunvalación Norte
20,21,0.023,65,Avenida Circunvalación Norte
21,22,0.039,65,Avenida Circunvalación Norte
22,23,0.039,65,Avenida Circunvalación Norte
23,24,0.045,65,Avenida Circunvalación Norte
24,25,0.044,65,Avenida Circunvalación Norte
26,27,0.068,35,Jirón Enrique P. Caceres
27,28,0.067,35,Jirón Enrique P. Caceres
28,29,0.117,35,Jirón Enrique P. Caceres
29,30,0.102,35,Jirón Enrique P. Caceres
30,31,0.017,35,Jirón Enrique P. Caceres
31,32,0.114,35,Jirón Enrique P. Caceres
32,33,0.113,35,Jirón Enrique P. Caceres
34,35,0.051,45,Avenida San Martín
35,36,0.092,45,Avenida San Martín
37,38,0.065,60,Avenida Circunvalación Este
38,39,0.067,60,Avenida Circunvalación Este
39,40,0.061,60,Avenida Circunvalación Este
40,41,0.062,60,Avenida Circunvalación Este
41,42,0.087,60,Avenida Circunvalación Este
42,43,0.027,60,Avenida Circunvalación Este
44,45,0.076,35,Jirón Lambayeque
45,46,0.056,35,Jirón Lambayeque
46,47,0.058,35,Jirón Lambayeque
47,48,0.051,35,Jirón Lambayeque
48,49,0.064,35,Jirón Lambayeque
49,50,0.059,35,Jirón Lambayeque
50,51,0.046,35,Jirón Lambayeque
51,52,0.05,35,Jirón Lambayeque
52,53,0.071,35,Jirón Lambayeque
53,54,0.07,35,Jirón Lambayeque
54,55,0.073,35,Jirón Lambayeque
55,56,0.049,35,Jirón Lambayeque
56,57,0.053,35,Jirón Lambayeque
57,58,0.05,35,Jirón Lambayeque
58,59,0.075,35,Jirón Lambayeque
59,60,0.058,35,Jirón Lambayeque
60,61,0.027,35,Jirón Lambayeque
61,62,0.025,35,Jirón Lambayeque
62,63,0.025,35,Jirón Lambayeque
63,64,0.052,35,Jirón Lambayeque
64,65,0.052,35,Jirón Lambayeque
65,66,0.052,35,Jirón Lambayeque
66,67,0.054,35,Jirón Lambayeque
67,68,0.022,35,Jirón Lambayeque
68,69,0.004,35,Jirón Lambayeque
69,70,0.066,35,Jirón Lambayeque
70,71,0.053,35,Jirón Lambayeque
71,72,0.052,35,Jirón Lambayeque
72,73,0.05,35,Jirón Lambayeque
73,74,0.069,35,Jirón Lambayeque
74,75,0.057,35,Jirón Lambayeque
75,76,0.051,35,Jirón Lambayeque
76,77,0.045,35,Jirón Lambayeque
77,78,0.053,35,Jirón Lambayeque
78,79,0.092,35,Jirón Lambayeque
