latitude,longitude,altitude,geometry,coordinates,@id,area,highway,bridge,bridge:name,ele,layer,maxweight,ref,source,name,oneway,surface,lane_markings,maxspeed,lanes,bicycle,foot,junction,source:geometry,alt_name,service,name:en,name:qu,access,incline,fixme,covered,lit,horse,construction,footway,crossing,tracktype,motorcar,embankment
,,,Polygon,"-70.1434378,-15.4916881,-70.1434278,-15.4916397,-70.1434075,-15.4915422,-70.1433947,-15.4914778,-70.1434709,-15.4914633,-70.143492,-15.4915732,-70.1435122,-15.4916704,-70.1434378,-15.4916881",way/592461743,yes,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1398278,-15.4377442,-70.1402397,-15.4366904",way/23604418,,trunk,yes,Puente Maravillas,3723,1,60,PE-3S,MTC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1358368,-15.4812904,-70.1360733,-15.481322,-70.1361327,-15.4813302,-70.1362335,-15.4813414",way/23782700,,trunk,,,,,,,,Avenida Circunvalación Norte,yes,asphalt,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1358021,-15.4815074,-70.1355678,-15.4814748,-70.1354457,-15.4814545,-70.1352853,-15.4814286,-70.1346836,-15.4813315,-70.1336847,-15.4811553,-70.1326681,-15.4810257,-70.1319856,-15.4809184,-70.1310841,-15.4807959,-70.1303935,-15.4806772,-70.1296774,-15.4805403,-70.1294929,-15.4805117,-70.1288396,-15.4804072,-70.1287105,-15.4803872,-70.1286565,-15.4803791,-70.1284418,-15.4803469,-70.1280809,-15.4803434,-70.1277228,-15.4803995,-70.1273163,-15.4805073,-70.1269453,-15.4806819",way/23782740,,trunk,,,,,,PE-3S,,Avenida Circunvalación Norte,yes,paved,no,60,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1246224,-15.484965,-70.1250619,-15.4854002,-70.1255094,-15.4858182,-70.1262908,-15.4865589,-70.1269837,-15.4871907,-70.1271213,-15.4872648,-70.1277988,-15.4880527,-70.1285952,-15.4887151",way/23782762,,residential,,,,,,,,Jirón Enrique P. Caceres,,concrete,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1209102,-15.4901751,-70.1213526,-15.4903481,-70.1221335,-15.4906886",way/23782763,,tertiary,,,,,,,,Avenida San Martín,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.118826,-15.499761,-70.1186146,-15.5003047,-70.1183901,-15.5008691,-70.1181924,-15.5013829,-70.1179826,-15.5019046,-70.117696,-15.5026328,-70.1176156,-15.5028634",way/23782809,,primary,,,,,,,,Avenida Circunvalación Este,,,,60,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1153189,-15.4840667,-70.1146608,-15.4838145,-70.1141724,-15.4836262,-70.1136615,-15.4834518,-70.1132128,-15.4832998,-70.1126546,-15.483083,-70.1121377,-15.4829044,-70.1117352,-15.4827691,-70.1112909,-15.4826349,-70.1106631,-15.4824411,-70.1100363,-15.4822564,-70.1094026,-15.4820203,-70.1089694,-15.4818662,-70.1085062,-15.4817014,-70.1080672,-15.4815452,-70.1074123,-15.4813101,-70.1069043,-15.4811278,-70.1066679,-15.4810429,-70.1064487,-15.4809642,-70.1062278,-15.4808849,-70.1057757,-15.4807214,-70.1053183,-15.4805584,-70.1048623,-15.4803948,-70.1043911,-15.4802285,-70.1042001,-15.480157,-70.1041658,-15.4801447,-70.1035924,-15.4799389,-70.1031332,-15.479774,-70.1026776,-15.479613,-70.1022455,-15.4794554,-70.1016393,-15.4792378,-70.1011373,-15.4790661,-70.1006922,-15.4789139,-70.100296,-15.4787784,-70.0998301,-15.4786191,-70.0990106,-15.4783684",way/23782864,,residential,,,,,,,,Jirón Lambayeque,,unpaved,,,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1298931,-15.4996146,-70.1299207,-15.4994649,-70.1304292,-15.4981641,-70.1307012,-15.497469,-70.1310728,-15.4965016,-70.1312801,-15.4959949,-70.1313188,-15.4959005",way/23782914,,primary,,,,,,,,Jirón Noriega,yes,,,45,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1355193,-15.4835789,-70.1352282,-15.4835056,-70.1351132,-15.4834776,-70.1348744,-15.4834175,-70.13399,-15.483214,-70.1330107,-15.4829631,-70.1320313,-15.4827102,-70.1308129,-15.4824551",way/23782937,,residential,,,,,,,,Jirón Umachiri,,,,,,,,,,,,,,,,,,,,,,,,,
