id,nombre,latitud,longitud,riesgo,tipo
0, ∩ Av. Independencia,-15.4377442,-70.1398278,65,interseccion
1, ∩ Carretera Longitudinal de la Sierra Sur,-15.4366904,-70.1402397,65,interseccion
2,Av. Independencia ∩ Av. Circunvalación Norte,-15.4812904,-70.1358368,65,interseccion
3,Av. Circunvalación Norte #2,-15.481322,-70.1360733,65,interseccion
4,Av. Independencia ∩ Av. Circunvalación Norte,-15.4813302,-70.1361327,65,interseccion
5,Av. Independencia ∩ Av. Circunvalación Norte,-15.4813414,-70.1362335,65,interseccion
6,Manuel Nuñez Butron ∩ Av. Independencia,-15.4815074,-70.1358021,65,interseccion
7,Av. Circunvalación Norte #6,-15.4814748,-70.1355678,65,interseccion
8,Jr. 8 de Noviembre ∩ Av. Circunvalación Norte,-15.4814545,-70.1354457,65,interseccion
9,Av. Circunvalación Norte #8,-15.4814286,-70.1352853,65,interseccion
10,Jr. Tumbes ∩ Av. Circunvalación Norte,-15.4813315,-70.1346836,65,interseccion
11,Jr. Apurimac ∩ Av. Circunvalación Norte,-15.4811553,-70.1336847,65,interseccion
12,Jr. Ramon Castilla ∩ Av. Circunvalación Norte,-15.4810257,-70.1326681,65,interseccion
13,Jr. Marineros ∩ Av. Circunvalación Norte,-15.4809184,-70.1319856,65,interseccion
14,Jr. Gonzales Prada ∩ Av. Circunvalación Norte,-15.4807959,-70.1310841,65,interseccion
15, ∩ Av. Circunvalación Norte,-15.4806772,-70.1303935,65,interseccion
16,Pasaje Golfo ∩ Av. Circunvalación Norte,-15.4805403,-70.1296774,65,interseccion
17,Av. Circunvalación Norte ∩ Jr. Vilcanota,-15.4805117,-70.1294929,65,interseccion
18,Pasaje San Carlos ∩ Av. Circunvalación Norte,-15.4804072,-70.1288396,65,interseccion
19,Infancia ∩ Av. Circunvalación Norte,-15.4803872,-70.1287105,65,interseccion
20,Infancia ∩ Av. Circunvalación Norte,-15.4803791,-70.1286565,65,interseccion
21,Av. Circunvalación Norte #20,-15.4803469,-70.1284418,65,interseccion
22,Av. Circunvalación Norte #21,-15.4803434,-70.1280809,65,interseccion
23,Av. Circunvalación Norte #22,-15.4803995,-70.1277228,65,interseccion
24,Av. Circunvalación Norte #23,-15.4805073,-70.1273163,65,interseccion
25,Av. Triunfo ∩ Av. Circunvalación Este,-15.4806819,-70.1269453,65,interseccion
26, ∩ Av. Circunvalación Este,-15.484965,-70.1246224,35,interseccion
27,Jr. Mariano Melgar ∩ Jr. Enrique P. Caceres,-15.4854002,-70.1250619,35,interseccion
28,Jr. El Maestro ∩ Jr. Enrique P. Caceres,-15.4858182,-70.1255094,35,interseccion
29,Jr. Benigno Ballón ∩ Jr. Enrique P. Caceres,-15.4865589,-70.1262908,35,interseccion
30,Jr. Sucre ∩ Jr. Enrique P. Caceres,-15.4871907,-70.1269837,35,interseccion
31,Jr. Sucre ∩ Jr. Túpac Amaru,-15.4872648,-70.1271213,35,interseccion
