@id,name,highway,maxspeed
23782700,Avenida Circunvalación Norte,trunk,
23782740,Avenida Circunvalación Norte,trunk,60
23782762,Jirón Enrique P. Caceres,residential,
23782763,Avenida San Martín,tertiary,
23782809,Avenida Circunvalación Este,primary,60
23782864,Jirón Lambayeque,residential,
23782914,Jirón Noriega,primary,45
23782937,Jirón Umachiri,residential,
26348331,Avenida Huancané,trunk,60
26348354,Aviacion,primary,
29093032,Jirón Sucre,residential,30
30617662,Autopista Mártires del 4 de Noviembre,trunk,90
37777034,Jirón Huancané,tertiary,40
112883787,Jirón Piérola,residential,30
112883791,Jirón San Isidro,residential,
112883792,Francisco Bolognesi,residential,
112883793,Jirón José carlos Mariategui,residential,
112883794,Coata,residential,
112883795,Jirón Chucuito,residential,
112883798,Jirón Almagro,residential,
112883799,Jirón 8 de Noviembre,residential,30
112883800,Jirón Azángaro,residential,
112883801,Jirón Santa Rosa,residential,
112883802,Jirón Túpac Amaru,residential,
112883803,Jirón El Maestro,residential,40
112883804,Jirón Juan Velasco Alvarado,residential,
112883807,Confraternidad,residential,
112883808,Jirón Ayaviri,residential,
112883811,Avenida Triunfo,residential,
112883813,Jirón Progreso,residential,
112883819,Jirón Santa Rosa,residential,
112883821,Jirón Cahuide,tertiary,
112883823,Jirón Elias Aguirre,residential,
112883825,Jirón Los Pinos,residential,
112883827,Jirón Apurimac,residential,
112883831,Jirón Los Kollys,residential,
112883833,Jirón Pumacahua,residential,
112883835,Jirón Raúl Porras Barrenechea,residential,30
112883840,Jirón Mariano Melgar,residential,
112883842,Pasaje César Vallejo,residential,
112883844,Juli,residential,
112883845,Carabaya,residential,
112883849,Pasaje Golfo,residential,
112883851,Jirón Libertad,residential,
112883853,Jirón La Mar,residential,
112883855,Jirón Micaela Bastidas,residential,
112883857,Jirón Libertad,residential,
112883860,Jirón San Martín,tertiary,40
112883861,Avenida Circunvalación Este,trunk,60
112883862,9 de Octubre,residential,
112883863,Jirón Independencia,residential,
112883864,Jirón Túpac Amaru,residential,
112883865,,residential,
112883867,Francisco Bolognesi,residential,
112883868,Jirón Vallecito,residential,
112883869,Pasaje Ayaviri,residential,
112883870,Aguirre,residential,
112883871,Jirón Benigno Ballón,residential,
112883872,Pasaje Victoria,residential,
112883874,Pasaje San Carlos,residential,
112883875,,residential,
112883877,,trunk,40
112883878,,residential,
112883879,Jirón Sucre,residential,
112883880,Jirón Caracoto,residential,
112883881,Jirón San Francisco,residential,
112883883,Jirón Daniel Alcides Carrión,residential,40
112883884,Jirón Santa Cruz,residential,
112883886,Alfonso Ugarte,residential,
112883887,Jirón Federico More,residential,
112883888,Jirón Gonzales Prada,residential,
112883889,,residential,
112883890,Jirón Carabaya,residential,
112883893,,residential,
